location,row,col,ecc,orientation,hit_rate_s1,cr_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,cr_rate_s2,response_time_s2,sd_response_time_s2,hit_rate_s3,cr_rate_s3,response_time_s3,sd_response_time_s3,hit_rate_s4,cr_rate_s4,response_time_s4,sd_response_time_s4,hit_rate,cr_rate,acc_rate,n_present,n_absent,response_time,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,cr_rate_2p5,cr_rate_97p5,acc_rate_2p5,acc_rate_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,response_time_2p5,response_time_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,1.0,0.9231,0.1209,0.0379,1.0,1.0,0.1403,0.0814,1.0,1.0,0.208,0.1338,1.0,1.0,0.144,0.0523,1.0,0.9815,0.9917,66,54,0.1744,0.1526,0.201,4.5141,0.988,1.0,1.0,0.9375,1.0,0.975,1.0,3.9885,4.7878,0.9769,0.9917,0.1601,0.19,0.1329,0.1753,0.1848,0.2204
2,600,840,4.0,0.0,1.0,0.7333,0.1917,0.042,0.9231,0.7647,0.1951,0.0576,1.0,1.0,0.2052,0.0579,1.0,1.0,0.202,0.0653,0.9841,0.8596,0.925,63,57,0.2237,0.199,0.251,3.2263,0.9466,0.9464,1.0,0.7619,0.9444,0.875,0.9667,2.5824,3.8895,0.9017,0.9741,0.2108,0.2375,0.1859,0.213,0.2297,0.2742
3,600,1080,8.0,0.0,0.7647,0.6154,0.2416,0.0847,0.8421,0.5455,0.312,0.0828,1.0,0.7857,0.1844,0.0408,0.9412,1.0,0.2629,0.1045,0.8841,0.7451,0.825,69,51,0.2812,0.253,0.3194,1.8547,0.8231,0.8028,0.9545,0.6222,0.86,0.7583,0.8917,1.36,2.5136,0.7517,0.8956,0.2624,0.3009,0.2318,0.2757,0.2878,0.3521
4,808,960,6.9295,0.0834,0.7333,0.8,0.2132,0.0543,0.8462,1.0,0.1841,0.0509,0.7333,0.8667,0.252,0.0757,0.8824,0.8462,0.2845,0.0963,0.8,0.8833,0.8417,60,60,0.2549,0.2368,0.273,2.0334,0.8454,0.6949,0.8966,0.7966,0.9615,0.775,0.9083,1.5429,2.7517,0.7798,0.9156,0.2387,0.2717,0.2172,0.2582,0.2483,0.2996
5,1016,840,8.0,0.1667,0.7,0.9,0.2419,0.0921,0.875,0.7857,0.3204,0.1037,0.8824,0.9231,0.2851,0.0808,1.0,0.8824,0.326,0.1433,0.8485,0.8704,0.8583,66,54,0.2985,0.2887,0.3104,2.1581,0.8597,0.7571,0.9286,0.7736,0.9508,0.7917,0.9167,1.6319,2.8413,0.7927,0.9223,0.2806,0.3167,0.2635,0.3152,0.2862,0.3353
6,1016,600,6.9295,0.25,0.7143,0.7778,0.2424,0.0821,0.8,0.7333,0.3058,0.0848,0.8235,0.7692,0.3679,0.1472,1.0,0.8571,0.2479,0.0764,0.8261,0.7843,0.8083,69,51,0.3129,0.2884,0.3462,1.7257,0.8059,0.7313,0.9091,0.6667,0.8913,0.7333,0.875,1.2403,2.325,0.7324,0.8775,0.2931,0.3341,0.2624,0.3155,0.3187,0.3761
7,1016,360,8.0,0.3333,0.5333,0.8667,0.2945,0.0712,0.7692,0.7647,0.3529,0.0521,0.75,0.8333,0.2802,0.0854,0.9,0.75,0.3206,0.0822,0.72,0.8,0.7667,50,70,0.3419,0.3115,0.3637,1.4245,0.7618,0.5918,0.8409,0.7015,0.8889,0.6917,0.8417,0.9556,1.9946,0.6836,0.8407,0.3234,0.3613,0.2906,0.3323,0.3365,0.393
8,808,240,6.9295,0.4166,1.0,0.85,0.2458,0.0479,1.0,1.0,0.2341,0.0579,1.0,0.9444,0.2318,0.0756,0.9524,1.0,0.2815,0.0913,0.9836,0.9322,0.9583,61,59,0.275,0.2519,0.2989,3.6271,0.9651,0.9464,1.0,0.8621,0.9844,0.9167,0.9917,2.9447,4.5177,0.9295,0.9881,0.2616,0.2885,0.2335,0.2713,0.2812,0.3169
9,808,480,4.0,0.3333,0.7857,1.0,0.2318,0.0586,0.8667,1.0,0.2429,0.0724,1.0,0.8889,0.2435,0.0343,1.0,0.9333,0.2089,0.0478,0.9107,0.9531,0.9333,56,64,0.2623,0.2312,0.2895,3.0211,0.9345,0.8308,0.9808,0.8947,1.0,0.8833,0.975,2.4633,3.961,0.891,0.9762,0.2493,0.2765,0.2173,0.2463,0.2699,0.3109
10,808,720,4.0,0.1667,0.8824,0.7692,0.222,0.0567,0.9444,0.9167,0.2525,0.0452,0.9474,0.9091,0.2041,0.0529,1.0,0.875,0.2064,0.0494,0.9412,0.8654,0.9083,68,52,0.248,0.2219,0.2822,2.6696,0.909,0.88,0.9865,0.7667,0.9565,0.8583,0.9583,2.1324,3.574,0.8568,0.963,0.235,0.2616,0.2093,0.235,0.26,0.3056
