location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate_s3,miss_rate_s3,fa_rate_s3,fht_rate_s3,response_time_s3,sd_response_time_s3,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.7391,0.2174,0.0151,0.005,0.4338,0.1623,0.9667,0.0333,0.0099,0.0076,0.5092,0.0897,0.8,0.16,0.0025,0.005,0.4798,0.0803,0.8462,0.1282,0.0092,0.0058,0.0256,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,78,1200,0.4776,0.4934,2.1745,0.8615,0.7625,0.9231,0.058,0.2073,0.0042,0.015,0.0017,0.0107,0.0,0.0667,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,1.8571,2.5857,0.8234,0.902,0.4514,0.5034,0.4804,0.5065
2,600,840,4.0,0.0,0.7368,0.2632,0.005,0.0025,0.7223,0.4241,0.7857,0.2143,0.0,0.0,0.5157,0.1197,0.8889,0.1111,0.0051,0.0025,0.5413,0.0796,0.8039,0.1961,0.0033,0.0017,0.0,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,51,1200,0.6017,0.4934,2.0101,0.8426,0.6889,0.9074,0.0926,0.3111,0.0008,0.0069,0.0,0.0042,0.0,0.0,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,1.6388,2.4935,0.7937,0.8938,0.5345,0.6909,0.4804,0.5065
3,600,1080,8.0,0.0,0.4,0.56,0.0025,0.0025,0.5528,0.1724,0.2105,0.6842,0.0049,0.0,0.5515,0.1941,0.3846,0.5385,0.0051,0.005,0.5396,0.1934,0.3429,0.5857,0.0042,0.0025,0.0714,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,70,1200,0.5476,0.4934,0.7497,0.6461,0.2353,0.4561,0.4691,0.7,0.0008,0.0082,0.0,0.0058,0.0154,0.1375,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,0.4194,1.059,0.583,0.7018,0.5048,0.5904,0.4804,0.5065
4,808,960,6.9295,0.0834,0.6111,0.2778,0.0101,0.0025,0.6784,0.2498,0.5556,0.3333,0.0025,0.0025,0.6427,0.2254,0.25,0.65,0.0126,0.0025,0.5077,0.1676,0.4643,0.4286,0.0083,0.0025,0.1071,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,56,1200,0.606,0.4934,1.0648,0.7028,0.3333,0.5965,0.3016,0.56,0.0034,0.014,0.0,0.0058,0.0345,0.1957,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,0.7091,1.4119,0.6385,0.7599,0.5482,0.6659,0.4804,0.5065
5,1016,840,8.0,0.1667,0.3448,0.4138,0.0025,0.0025,0.6566,0.2329,0.0,0.8824,0.0,0.0,0.4296,0.167,0.0417,0.875,0.0051,0.0025,0.5209,0.1892,0.1571,0.6857,0.0025,0.0017,0.1571,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,70,1200,0.5549,0.4934,0.1481,0.5295,0.0769,0.2464,0.5763,0.7903,0.0,0.0057,0.0,0.0042,0.0759,0.2466,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,-0.2855,0.4819,0.4432,0.5952,0.5042,0.607,0.4804,0.5065
6,1016,600,6.9295,0.25,0.0833,0.7083,0.005,0.0025,0.5186,0.2046,0.0476,0.9048,0.0,0.0051,0.5426,0.2195,0.0833,0.8333,0.0051,0.0074,0.5257,0.3097,0.0725,0.8116,0.0033,0.005,0.1159,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,69,1200,0.5284,0.4934,-0.3033,0.4397,0.0156,0.1389,0.7167,0.9,0.0008,0.0068,0.0016,0.0093,0.0455,0.1954,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,-1.0003,0.0835,0.3085,0.5166,0.4746,0.5934,0.4804,0.5065
7,1016,360,8.0,0.3333,0.0556,0.8333,0.0025,0.0,0.5446,0.2339,0.0435,0.913,0.0049,0.0,0.466,0.1357,0.1053,0.8421,0.0,0.0,0.45,0.1662,0.0667,0.8667,0.0025,0.0,0.0667,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,60,1200,0.4845,0.4934,-0.3467,0.4312,0.0152,0.14,0.7727,0.9455,0.0,0.0058,0.0,0.0,0.0149,0.1373,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,-1.0369,0.0832,0.3021,0.5166,0.4407,0.5314,0.4804,0.5065
8,808,240,6.9295,0.4166,0.125,0.875,0.0025,0.0,0.489,0.1707,0.1429,0.8571,0.0,0.0025,0.4796,0.1835,0.25,0.6,0.0,0.0025,0.5078,0.2095,0.18,0.76,0.0008,0.0017,0.06,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,50,1200,0.4939,0.4934,0.239,0.5476,0.0784,0.2955,0.6364,0.875,0.0,0.0026,0.0,0.0042,0.0,0.1351,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,-0.2695,0.6286,0.4464,0.6233,0.4435,0.5461,0.4804,0.5065
9,808,480,4.0,0.3333,0.6667,0.2667,0.0126,0.0149,0.644,0.1865,0.3889,0.5556,0.0049,0.0025,0.5095,0.2037,0.8571,0.1429,0.0101,0.0,0.5703,0.115,0.6481,0.3148,0.0092,0.0058,0.037,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,54,1200,0.5705,0.4934,1.5347,0.7786,0.5192,0.7736,0.193,0.44,0.0042,0.015,0.0017,0.0107,0.0,0.0968,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,1.1926,1.919,0.7245,0.8314,0.5253,0.6192,0.4804,0.5065
10,808,720,4.0,0.1667,0.5556,0.4444,0.0126,0.0,0.599,0.1537,0.7778,0.1667,0.0099,0.0076,0.5906,0.1604,0.7368,0.2632,0.0076,0.0025,0.5204,0.1124,0.6909,0.2909,0.01,0.0033,0.0182,0.4767,0.4608,0.8758,0.1242,0.0625,0.6762,55,1200,0.5691,0.4934,1.6528,0.7957,0.5616,0.8113,0.1739,0.4182,0.0049,0.0158,0.0008,0.0068,0.0,0.06,0.4489,0.5046,0.4327,0.4888,0.8568,0.8945,0.1055,0.1432,0.0491,0.0767,0.6575,0.695,1.3023,2.0434,0.7425,0.8465,0.5315,0.6076,0.4804,0.5065
