location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.88,0.12,0.0053,0.0024,0.5621,0.1774,0.9333,0.0667,0.0,0.0025,0.5337,0.1094,0.9,0.1,0.0026,0.0024,0.0,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,40,777,0.5515,0.4881,2.5536,0.8992,0.7931,0.9778,0.0222,0.2069,0.0,0.0065,0.0,0.0062,0.0,0.0,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,2.0712,3.3128,0.8498,0.9512,0.5066,0.603,0.4704,0.5074
2,600,840,4.0,0.0,0.6111,0.3333,0.0,0.0,0.6869,0.2914,0.9524,0.0476,0.0025,0.0,0.6079,0.1275,0.7949,0.1795,0.0013,0.0,0.0256,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,39,777,0.6444,0.4881,2.0955,0.8526,0.6579,0.9143,0.0667,0.3056,0.0,0.004,0.0,0.0,0.0,0.087,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,1.6721,2.6542,0.7984,0.9078,0.5754,0.7147,0.4704,0.5074
3,600,1080,8.0,0.0,0.5556,0.4444,0.0026,0.0,0.7627,0.323,0.5417,0.4167,0.0,0.0,0.6647,0.2979,0.549,0.4314,0.0013,0.0,0.0196,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,51,777,0.7166,0.4881,1.3953,0.7573,0.4091,0.6852,0.2955,0.5682,0.0,0.004,0.0,0.0,0.0,0.0656,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,1.0282,1.7711,0.6964,0.8121,0.6312,0.8043,0.4704,0.5074
4,808,960,6.9295,0.0834,0.5882,0.4118,0.0053,0.0024,0.7997,0.2583,0.8333,0.1667,0.005,0.0,0.8133,0.2516,0.7317,0.2683,0.0051,0.0012,0.0,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,41,777,0.8077,0.4881,1.8901,0.8277,0.587,0.8611,0.1389,0.413,0.0012,0.0106,0.0,0.0038,0.0,0.0,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,1.4721,2.378,0.7692,0.8828,0.7298,0.8809,0.4704,0.5074
5,1016,840,8.0,0.1667,0.1905,0.6667,0.0053,0.0,0.7667,0.362,0.3043,0.6522,0.005,0.0025,0.5979,0.3671,0.25,0.6591,0.0051,0.0012,0.0909,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,44,777,0.6785,0.4881,0.5976,0.6175,0.1277,0.3864,0.5122,0.8,0.0012,0.0106,0.0,0.0037,0.0196,0.1842,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,0.1165,1.0111,0.5232,0.6934,0.5715,0.7908,0.4704,0.5074
6,1016,600,6.9295,0.25,0.0455,0.8636,0.0026,0.0,0.6391,0.3063,0.2917,0.7083,0.0025,0.0,0.556,0.2432,0.1739,0.7826,0.0026,0.0,0.0435,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,46,777,0.5958,0.4881,0.3333,0.5662,0.0682,0.2955,0.6531,0.898,0.0,0.0065,0.0,0.0,0.0,0.1136,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,-0.2178,0.745,0.4566,0.6452,0.5174,0.6775,0.4704,0.5074
7,1016,360,8.0,0.3333,0.0,0.8077,0.0,0.0,0.6353,0.4097,0.0,1.0,0.0025,0.0,0.3524,0.0691,0.0,0.8837,0.0013,0.0,0.1163,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,43,777,0.5234,0.4881,-inf,0.0,0.0,0.0,0.7778,0.9744,0.0,0.004,0.0,0.0,0.0256,0.2222,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,,,0.0,0.0,0.4266,0.6338,0.4704,0.5074
8,808,240,6.9295,0.4166,0.7917,0.2083,0.0185,0.0095,0.7117,0.1631,0.8636,0.1364,0.0025,0.0,0.8151,0.2497,0.8261,0.1739,0.0103,0.0049,0.0,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,46,777,0.7611,0.4881,2.2109,0.8655,0.7091,0.9286,0.0714,0.2909,0.0039,0.0179,0.0012,0.01,0.0,0.0,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,1.8015,2.7485,0.8161,0.9153,0.6987,0.8228,0.4704,0.5074
9,808,480,4.0,0.3333,0.9474,0.0526,0.0265,0.0118,0.7293,0.141,0.85,0.15,0.0025,0.005,0.6449,0.1708,0.8974,0.1026,0.0142,0.0085,0.0,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,39,777,0.686,0.4881,2.5392,0.8979,0.7895,0.9773,0.0227,0.2105,0.0065,0.023,0.0025,0.0151,0.0,0.0,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,2.0644,3.2958,0.849,0.9503,0.6362,0.738,0.4704,0.5074
10,808,720,4.0,0.1667,0.8333,0.125,0.037,0.0047,0.7972,0.2441,0.9333,0.0667,0.0075,0.0,0.6538,0.184,0.8718,0.1026,0.0219,0.0024,0.0256,0.5565,0.4034,0.8983,0.1017,0.0401,0.7225,39,777,0.7421,0.4881,2.407,0.8856,0.7568,0.9706,0.0233,0.2105,0.012,0.0328,0.0,0.0062,0.0,0.0857,0.5228,0.5897,0.3702,0.4363,0.8763,0.9184,0.0816,0.1237,0.0274,0.0538,0.7,0.7438,1.9537,3.1487,0.8357,0.9423,0.6705,0.8153,0.4704,0.5074
