location,ecc,orientation,ecc_ring,hit_rate_session1,miss_rate_session1,hit_rate,miss_rate,fa_rate,n_present
1,0.0,-1.0,1,1.0,0.0,1.0,0.0,0.0024390243902439024,11
2,2.1954,0.0,2,1.0,0.0,1.0,0.0,0.0,8
3,4.3909,0.0,3,0.9375,0.0,0.9375,0.0,0.0,16
4,6.5863,0.0,4,0.8,0.13333333333333333,0.8,0.13333333333333333,0.0,15
5,8.7818,0.0,5,0.35294117647058826,0.5294117647058824,0.35294117647058826,0.5294117647058824,0.0012195121951219512,17
6,7.9209,0.0385,5,0.3,0.7,0.3,0.7,0.0012195121951219512,10
7,7.6,0.0831,5,1.0,0.0,1.0,0.0,0.004878048780487805,22
8,7.912,0.1278,5,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.004878048780487805,9
9,8.7818,0.1665,5,0.6,0.3333333333333333,0.6,0.3333333333333333,0.0024390243902439024,15
10,7.6158,0.2052,5,0.5333333333333333,0.4,0.5333333333333333,0.4,0.0012195121951219512,15
11,7.6,0.25,5,0.3,0.6,0.3,0.6,0.0,10
12,7.6158,0.2948,5,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0,13
13,8.7818,0.3335,5,0.4,0.4,0.4,0.4,0.0,10
14,7.912,0.3722,5,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,19
15,6.5863,0.3335,4,0.631578947368421,0.3157894736842105,0.631578947368421,0.3157894736842105,0.0012195121951219512,19
16,5.8052,0.2803,4,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.0,15
17,5.8052,0.2197,4,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.38461538461538464,0.0012195121951219512,13
18,6.5863,0.1665,4,0.75,0.25,0.75,0.25,0.0,12
19,4.3909,0.1665,3,1.0,0.0,1.0,0.0,0.0012195121951219512,14
20,5.8052,0.1134,4,1.0,0.0,1.0,0.0,0.0012195121951219512,15
21,3.8,0.0831,3,0.75,0.25,0.75,0.25,0.0,8
22,5.8138,0.0529,4,0.75,0.1875,0.75,0.1875,0.0012195121951219512,16
23,2.1954,0.1665,2,1.0,0.0,1.0,0.0,0.0,12
24,3.8,0.25,3,1.0,0.0,1.0,0.0,0.0024390243902439024,13
25,4.3909,0.3335,3,1.0,0.0,1.0,0.0,0.0012195121951219512,13
26,5.8052,0.3866,4,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.09090909090909091,0.0012195121951219512,11
27,7.6,0.4169,5,1.0,0.0,1.0,0.0,0.0024390243902439024,8
28,7.9209,0.4615,5,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0012195121951219512,7
29,5.8138,0.4471,4,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.0,11
30,3.8,0.4169,3,1.0,0.0,1.0,0.0,0.0,12
31,2.1954,0.3335,2,1.0,0.0,1.0,0.0,0.0,7
32,2.1954,0.5,2,1.0,0.0,1.0,0.0,0.0,15
33,4.3909,0.5,3,1.0,0.0,1.0,0.0,0.0,10
34,6.5863,0.5,4,0.9473684210526315,0.05263157894736842,0.9473684210526315,0.05263157894736842,0.0,19
35,8.7818,0.5,5,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.003658536585365854,11
36,7.9209,0.5385,5,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0,12
37,5.8138,0.5529,4,0.75,0.25,0.75,0.25,0.0,12
38,3.8,0.5831,3,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0,12
39,2.1954,0.6665,2,0.6875,0.25,0.6875,0.25,0.0,16
40,2.1954,0.8335,2,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.0,13
41,3.8,0.9169,3,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.2857142857142857,0.0,14
42,5.8138,0.9471,4,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.0,9
43,7.9209,0.9615,5,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.0,17
44,7.6,0.9169,5,0.6875,0.3125,0.6875,0.3125,0.0,16
45,5.8052,0.8866,4,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.0,12
46,4.3909,0.8335,3,0.9375,0.0625,0.9375,0.0625,0.0012195121951219512,16
47,3.8,0.75,3,0.9285714285714286,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.0024390243902439024,14
48,4.3909,0.6665,3,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.0,13
49,5.8052,0.6134,4,0.8,0.2,0.8,0.2,0.0012195121951219512,10
50,7.6,0.5831,5,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.004878048780487805,12
51,7.912,0.6278,5,0.6,0.4,0.6,0.4,0.0,10
52,6.5863,0.6665,4,0.875,0.125,0.875,0.125,0.0,16
53,5.8052,0.7197,4,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,7
54,5.8052,0.7803,4,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.0,15
55,6.5863,0.8335,4,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.0,9
56,7.912,0.8722,5,0.125,0.8125,0.125,0.8125,0.0012195121951219512,16
57,8.7818,0.8335,5,0.125,0.875,0.125,0.875,0.0,8
58,7.6158,0.7948,5,0.2,0.8,0.2,0.8,0.0,15
59,7.6,0.75,5,0.0,0.9090909090909091,0.0,0.9090909090909091,0.0012195121951219512,11
60,7.6158,0.7052,5,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.35714285714285715,0.0024390243902439024,14
61,8.7818,0.6665,5,0.0,1.0,0.0,1.0,0.0,10
