location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate_s3,miss_rate_s3,fa_rate_s3,fht_rate_s3,response_time_s3,sd_response_time_s3,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.9796,0.0204,0.0079,0.0,0.459,0.0681,0.8654,0.1346,0.0047,0.0026,0.478,0.0958,0.9355,0.0484,0.005,0.0,0.4818,0.0935,0.9264,0.0675,0.0058,0.0008,0.0061,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,163,1202,0.4737,0.4273,2.8839,0.9253,0.8841,0.9641,0.0311,0.1083,0.0017,0.0105,0.0,0.0026,0.0,0.02,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,2.6094,3.2551,0.904,0.9482,0.4606,0.4871,0.4192,0.4358
2,600,840,4.0,0.0,0.8621,0.1379,0.0026,0.0,0.5041,0.0792,0.8125,0.1875,0.0024,0.0,0.5228,0.1135,0.8966,0.1034,0.0025,0.0025,0.508,0.1123,0.8598,0.1402,0.0025,0.0008,0.0,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,164,1202,0.511,0.4273,2.5138,0.8956,0.8029,0.9111,0.0889,0.1971,0.0,0.0058,0.0,0.0026,0.0,0.0,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,2.2701,2.8104,0.8718,0.92,0.496,0.5273,0.4192,0.4358
3,600,1080,8.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,0,1202,,0.4273,,,,,,,0.0,0.0,0.0,0.0,,,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,,,,,,,0.4192,0.4358
4,808,960,6.9295,0.0834,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,0,1202,,0.4273,,,,,,,0.0,0.0,0.0,0.0,,,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,,,,,,,0.4192,0.4358
5,1016,840,8.0,0.1667,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,0,1202,,0.4273,,,,,,,0.0,0.0,0.0,0.0,,,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,,,,,,,0.4192,0.4358
6,1016,600,6.9295,0.25,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,0,1202,,0.4273,,,,,,,0.0,0.0,0.0,0.0,,,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,,,,,,,0.4192,0.4358
7,1016,360,8.0,0.3333,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,0,1202,,0.4273,,,,,,,0.0,0.0,0.0,0.0,,,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,,,,,,,0.4192,0.4358
8,808,240,6.9295,0.4166,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,0,1202,,0.4273,,,,,,,0.0,0.0,0.0,0.0,,,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,,,,,,,0.4192,0.4358
9,808,480,4.0,0.3333,0.7193,0.2632,0.0158,0.0024,0.527,0.1084,0.7843,0.1961,0.0095,0.0,0.5132,0.1133,0.8621,0.1379,0.01,0.0,0.4943,0.1061,0.7892,0.1988,0.0116,0.0008,0.012,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,166,1202,0.5113,0.4273,2.2381,0.8684,0.7261,0.8492,0.1397,0.2599,0.0059,0.018,0.0,0.0026,0.0,0.0314,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,2.013,2.4959,0.8429,0.894,0.4947,0.528,0.4192,0.4358
10,808,720,4.0,0.1667,0.7627,0.2203,0.0053,0.0,0.5382,0.127,0.8548,0.1129,0.0024,0.0,0.5254,0.11,0.9062,0.0938,0.0025,0.0,0.5594,0.1784,0.8432,0.1405,0.0033,0.0,0.0162,0.8715,0.1177,0.9243,0.0757,0.0109,0.8979,185,1202,0.5413,0.4273,2.4424,0.889,0.7884,0.8944,0.0918,0.1929,0.0008,0.0068,0.0,0.0,0.0,0.0366,0.8524,0.8901,0.1,0.1359,0.9092,0.939,0.061,0.0908,0.0052,0.0173,0.8854,0.91,2.2126,2.7116,0.8657,0.9124,0.5215,0.5626,0.4192,0.4358
