location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.9559,0.0441,0.0051,0.0,0.5454,0.1391,0.9828,0.0172,0.0,0.0,0.5359,0.1007,0.9683,0.0317,0.0025,0.0,0.0,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,126,794,0.541,0.3759,3.961,0.9762,0.9348,0.9927,0.0073,0.0652,0.0,0.0064,0.0,0.0,0.0,0.0,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,3.5704,4.6495,0.9629,0.99,0.5212,0.5638,0.3647,0.3873
2,600,840,4.0,0.0,0.9298,0.0702,0.0026,0.0,0.5928,0.1658,0.9038,0.0962,0.0,0.0,0.6063,0.154,0.9174,0.0826,0.0013,0.0,0.0,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,109,794,0.5992,0.3759,3.4933,0.9597,0.8636,0.9643,0.0357,0.1364,0.0,0.0039,0.0,0.0,0.0,0.0,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,3.1463,3.9741,0.9422,0.9765,0.5701,0.6295,0.3647,0.3873
3,600,1080,8.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,0,794,,0.3759,,,,,,,0.0,0.0,0.0,0.0,,,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,,,,,,,0.3647,0.3873
4,808,960,6.9295,0.0834,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,0,794,,0.3759,,,,,,,0.0,0.0,0.0,0.0,,,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,,,,,,,0.3647,0.3873
5,1016,840,8.0,0.1667,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,0,794,,0.3759,,,,,,,0.0,0.0,0.0,0.0,,,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,,,,,,,0.3647,0.3873
6,1016,600,6.9295,0.25,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,0,794,,0.3759,,,,,,,0.0,0.0,0.0,0.0,,,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,,,,,,,0.3647,0.3873
7,1016,360,8.0,0.3333,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,0,794,,0.3759,,,,,,,0.0,0.0,0.0,0.0,,,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,,,,,,,0.3647,0.3873
8,808,240,6.9295,0.4166,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,0,794,,0.3759,,,,,,,0.0,0.0,0.0,0.0,,,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,,,,,,,0.3647,0.3873
9,808,480,4.0,0.3333,0.92,0.08,0.0026,0.0,0.6664,0.168,0.873,0.127,0.0,0.0,0.667,0.1863,0.8938,0.1062,0.0013,0.0,0.0,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,113,794,0.6667,0.3759,3.3523,0.9531,0.835,0.9483,0.0517,0.165,0.0,0.0039,0.0,0.0,0.0,0.0,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,3.025,3.8015,0.9348,0.9713,0.6339,0.7,0.3647,0.3873
10,808,720,4.0,0.1667,0.9,0.1,0.0051,0.0,0.6804,0.1805,0.9153,0.0847,0.0,0.0,0.6483,0.192,0.9083,0.0917,0.0025,0.0,0.0,0.9206,0.0782,0.9824,0.0176,0.0012,0.9512,109,794,0.6631,0.3759,3.4354,0.9571,0.8515,0.9583,0.0417,0.1485,0.0,0.0064,0.0,0.0,0.0,0.0,0.9017,0.9387,0.0601,0.0971,0.9726,0.991,0.009,0.0274,0.0,0.0038,0.9406,0.9612,3.0914,3.899,0.9389,0.9744,0.6288,0.6986,0.3647,0.3873
