session,amplitude,presence,response_presence,reaction_time
1,3.5,0,0,0.6121
1,3.5,0,0,0.3001
1,3.5,0,0,0.3295
1,3.5,1,1,0.3825
1,3.5,1,1,0.3828
1,3.5,0,0,0.2981
1,3.5,0,0,0.3691
1,3.5,1,1,0.2601
1,3.5,1,1,0.3238
1,3.5,1,1,0.28
1,3.5,0,0,0.2541
1,3.5,1,1,0.2377
1,3.5,1,1,0.2277
1,3.5,1,1,0.1723
1,3.5,0,0,0.2698
1,3.5,0,0,0.2935
1,3.5,0,0,0.2273
1,3.5,1,1,0.2043
1,3.5,1,1,0.2275
1,3.5,1,1,0.3297
2,3.5,0,0,0.216
2,3.5,0,1,0.2938
2,3.5,1,1,0.1079
2,3.5,0,0,0.2019
2,3.5,0,0,0.254
2,3.5,1,1,0.1779
2,3.5,1,1,0.1366
2,3.5,0,0,0.1801
2,3.5,1,1,0.2361
2,3.5,0,0,0.2179
2,3.5,0,0,0.2839
2,3.5,0,0,0.2819
2,3.5,1,1,0.1799
2,3.5,1,1,0.15
2,3.5,0,0,0.2779
2,3.5,1,1,0.1999
2,3.5,0,0,0.1579
2,3.5,0,0,0.24
2,3.5,0,0,0.4838
2,3.5,0,0,0.1999
1,3.2556,0,0,0.2723
1,3.2556,0,0,0.4156
1,3.2556,0,0,0.496
1,3.2556,0,0,0.4918
1,3.2556,0,0,0.5157
1,3.2556,0,0,0.4734
1,3.2556,1,1,0.2878
1,3.2556,0,0,0.4055
1,3.2556,0,0,0.2962
1,3.2556,0,0,0.3162
1,3.2556,1,1,0.4343
1,3.2556,0,0,0.3055
1,3.2556,0,0,0.2834
1,3.2556,1,1,0.4295
1,3.2556,0,0,0.3596
1,3.2556,1,1,0.3321
1,3.2556,0,0,0.35
1,3.2556,1,1,0.4733
1,3.2556,1,1,0.4637
1,3.2556,0,0,0.3681
2,3.2556,0,0,0.1962
2,3.2556,0,0,0.2001
2,3.2556,1,1,0.1281
2,3.2556,0,0,0.1117
2,3.2556,1,1,0.1541
2,3.2556,0,0,0.1
2,3.2556,1,1,0.2059
2,3.2556,0,0,0.1579
2,3.2556,1,1,0.2382
2,3.2556,0,0,0.2279
2,3.2556,1,1,0.1839
2,3.2556,0,0,0.1421
2,3.2556,1,1,0.1739
2,3.2556,1,1,0.184
2,3.2556,0,0,0.1202
2,3.2556,0,0,0.3721
2,3.2556,1,1,0.2498
2,3.2556,1,1,0.1759
2,3.2556,1,1,0.144
2,3.2556,0,0,0.082
1,3.0111,1,1,0.2358
1,3.0111,1,1,0.3162
1,3.0111,0,0,0.2963
1,3.0111,1,1,0.3661
1,3.0111,0,0,0.332
1,3.0111,0,0,0.2717
1,3.0111,0,0,0.4722
1,3.0111,1,1,0.318
1,3.0111,0,0,0.3381
