session,detection_focus,location,response_location,reaction_time
1,1,1,1,0.2296
1,1,1,1,0.1662
1,1,0,0,0.3022
1,1,1,1,0.1442
1,1,0,0,0.2053
1,1,0,0,0.2142
1,1,1,1,0.236
1,1,0,0,0.2637
1,1,1,1,0.372
1,1,0,0,0.2139
1,1,0,0,0.1802
1,1,1,0,0.1066
1,1,1,1,0.3892
1,1,1,1,0.6016
1,1,0,0,0.3998
1,1,0,0,0.4379
1,1,0,0,0.3379
1,1,1,1,0.4641
1,1,1,1,0.5604
1,1,1,1,0.4059
2,1,1,1,0.2205
2,1,0,0,0.2642
2,1,1,1,0.2991
2,1,0,0,0.3507
2,1,0,0,0.2338
2,1,0,0,0.2958
2,1,0,0,0.3159
2,1,1,1,0.4286
2,1,0,0,0.2179
2,1,0,0,0.2542
2,1,1,1,0.2398
2,1,1,1,0.2758
2,1,1,1,0.5437
2,1,0,0,0.2482
2,1,0,0,0.2279
2,1,1,1,0.3599
2,1,1,1,0.2658
2,1,0,0,0.2859
2,1,0,0,0.2638
2,1,0,0,0.3825
3,1,0,0,0.3256
3,1,1,1,0.6534
3,1,0,0,0.4283
3,1,1,1,0.3999
3,1,1,1,0.2895
3,1,0,0,0.2263
3,1,0,0,0.2537
3,1,0,0,0.2819
3,1,0,0,0.2498
3,1,1,1,0.286
3,1,0,0,0.2143
3,1,1,1,0.3824
3,1,0,0,0.2177
3,1,0,0,0.2181
3,1,0,0,0.1863
3,1,1,1,0.1979
3,1,1,1,0.2035
3,1,1,1,0.2581
3,1,1,1,0.2014
3,1,0,1,0.2481
4,1,1,1,0.1073
4,1,1,1,0.1115
4,1,0,0,0.1875
4,1,1,1,0.2015
4,1,1,1,0.2374
4,1,1,1,0.3303
4,1,0,0,0.3657
4,1,1,1,0.1637
4,1,0,0,0.26
4,1,1,1,0.2201
4,1,1,1,0.4181
4,1,0,0,0.2405
4,1,1,1,0.2058
4,1,1,1,0.1755
4,1,1,1,0.1597
4,1,0,0,0.3038
4,1,1,1,0.1879
4,1,0,1,0.5237
4,1,1,1,0.2759
4,1,1,1,0.1637
1,2,0,0,0.3846
1,2,0,0,0.3226
1,2,0,0,0.39
1,2,0,0,0.2819
1,2,0,0,0.2559
1,2,0,2,0.3516
1,2,2,2,0.5098
1,2,2,2,0.2939
1,2,0,0,0.4325
1,2,0,0,0.5018
1,2,2,2,0.2299
1,2,0,0,0.4338
1,2,0,0,0.2705
1,2,2,2,0.2539
1,2,2,2,0.3099
1,2,2,2,0.2799
1,2,0,0,0.3136
1,2,2,2,0.2719
1,2,0,0,0.3698
1,2,2,2,0.3278
2,2,0,2,0.5362
2,2,2,2,0.216
2,2,2,2,0.2542
2,2,2,2,0.2598
2,2,2,2,0.1676
2,2,2,2,0.2079
2,2,0,0,0.3817
2,2,2,2,0.1643
2,2,2,2,0.108
2,2,0,0,0.398
2,2,0,0,0.3238
2,2,2,2,0.2301
2,2,0,0,0.1979
2,2,2,2,0.194
2,2,0,0,0.2639
2,2,0,0,0.2399
2,2,2,2,0.1698
2,2,0,0,0.3479
2,2,2,2,0.2239
2,2,0,0,0.1981
3,2,2,2,0.4936
3,2,0,0,0.2677
3,2,0,0,0.268
3,2,0,2,0.452
3,2,2,2,0.2815
3,2,0,0,0.3118
3,2,2,2,0.1643
3,2,2,2,0.23
3,2,2,2,0.27
3,2,2,2,0.2361
3,2,0,0,0.466
3,2,0,0,0.3097
3,2,0,2,0.2601
3,2,2,2,0.1778
3,2,0,0,0.4361
3,2,0,0,0.5681
3,2,0,0,0.274
3,2,0,0,0.5283
3,2,0,0,0.2982
3,2,2,2,0.2082
4,2,0,0,0.3496
4,2,2,2,0.1917
4,2,0,0,0.1879
4,2,2,2,0.1861
4,2,2,2,0.1404
4,2,0,0,0.372
4,2,2,2,0.1661
4,2,0,0,0.21
4,2,0,0,0.1301
4,2,0,0,0.3421
4,2,2,2,0.24
4,2,0,0,0.2138
4,2,2,2,0.3259
4,2,2,2,0.1984
4,2,0,0,0.3582
4,2,0,2,0.1606
4,2,2,2,0.1839
4,2,0,0,0.2321
4,2,2,2,0.2477
4,2,0,0,0.2943
