session,location,response_location,reaction_time
1,13,13,1.0629
1,45,45,0.5948
1,0,0,0.2489
1,11,11,0.962
1,11,13,0.9533
1,0,0,0.3201
1,0,0,0.2705
1,0,0,0.3404
1,0,0,0.3062
1,0,0,0.2388
1,0,0,0.4076
1,11,0,0.3366
1,0,0,0.4168
1,5,0,0.3383
1,21,21,0.8618
1,0,0,0.3065
1,0,0,0.5241
1,1,1,0.5528
1,0,0,0.4263
1,0,0,0.29
1,60,0,0.296
1,22,22,0.6844
1,0,0,0.2508
1,0,0,0.3889
1,32,32,0.492
1,0,0,0.3001
1,0,0,0.2919
1,0,0,0.2919
1,21,0,0.2881
1,15,0,0.29
1,0,0,0.2993
1,0,0,0.2919
1,27,26,0.8938
1,0,0,0.2907
1,0,0,0.3482
1,47,0,0.2624
1,0,0,0.7825
1,57,0,0.9056
1,40,40,0.8583
1,56,0,0.4363
1,0,0,0.735
1,6,0,0.3419
1,0,0,0.5084
1,0,0,0.376
1,0,0,0.4884
1,0,0,0.3904
1,0,0,0.3625
1,33,33,1.1135
1,0,0,0.3057
1,0,0,0.3541
1,23,23,0.8042
1,35,0,0.2602
1,59,0,0.3406
1,22,22,1.0239
1,55,55,1.0024
1,0,0,0.3182
1,45,45,0.8633
1,42,42,0.9637
1,0,0,0.4142
1,0,0,0.4585
1,38,38,0.6217
1,18,18,0.5761
1,0,0,0.9159
1,0,0,0.3806
1,0,0,0.3786
1,26,26,0.9257
1,0,0,0.5359
1,0,0,0.3141
1,19,19,0.7302
1,0,0,0.3422
1,52,0,0.34
1,0,0,0.3098
1,0,0,0.2895
1,45,45,0.7816
1,20,20,0.7577
1,53,53,0.9902
1,0,0,0.4715
1,0,0,0.7583
1,22,22,0.9779
1,0,0,0.2624
1,0,0,0.2767
1,6,6,0.7647
1,53,48,0.8836
1,0,0,0.2364
1,6,6,0.8854
1,6,6,0.8305
1,0,0,0.2429
1,0,0,0.2545
1,0,0,0.3388
1,61,0,0.404
1,0,0,0.6924
1,0,0,0.3184
1,0,0,0.2975
1,0,0,0.3411
1,0,0,1.0905
1,0,0,0.2725
1,0,0,0.2201
1,34,0,1.5181
1,0,0,0.3184
1,17,17,0.7547
1,0,0,0.1968
1,20,20,0.659
1,23,23,0.5581
1,0,0,0.4724
1,0,0,0.478
1,19,19,0.5941
1,51,51,0.8502
1,37,37,0.7571
1,20,0,0.2844
1,25,0,0.498
1,0,0,0.3606
1,2,2,0.4074
1,23,23,0.4945
1,0,0,0.3051
1,0,0,0.3009
1,52,52,0.9137
1,20,20,0.8701
1,35,0,0.355
1,3,3,0.6899
1,0,0,0.2819
1,0,0,0.3601
1,0,0,0.2733
1,22,0,0.4907
1,0,0,0.2343
1,25,0,0.2897
1,0,0,0.3277
1,0,0,0.2612
1,0,0,0.4021
1,56,0,0.3868
1,0,0,0.4863
1,0,0,0.342
1,41,41,0.7398
1,0,0,0.2779
1,0,0,0.2728
1,3,3,0.8946
1,0,0,0.2885
1,38,38,0.5401
1,50,50,0.6572
1,19,19,0.5328
1,0,0,0.2827
1,0,0,0.217
1,0,0,0.2641
1,0,0,0.2109
1,0,0,0.2421
1,0,0,0.2513
1,37,37,0.8615
1,4,4,0.7028
1,0,0,0.1785
1,28,0,0.2703
1,7,7,0.8008
1,59,0,0.2803
1,0,0,0.2104
1,0,0,0.2267
1,0,0,0.2437
1,0,0,0.229
1,6,6,0.84
1,0,0,0.285
1,7,7,0.9288
1,0,0,0.1925
1,55,55,0.9069
1,0,0,0.5666
1,48,48,0.6108
1,0,0,0.2881
1,13,13,1.1019
1,0,52,0.962
1,0,0,0.5736
