session,location,response_location,reaction_time
1,0,0,0.539
1,2,2,0.5421
1,15,15,0.4344
1,0,0,0.2732
1,2,2,0.4522
1,0,0,0.4447
1,0,0,0.3462
1,0,0,0.5767
1,1,1,0.6402
1,15,15,0.4482
1,0,2,0.4946
1,0,0,0.3842
1,1,1,0.5064
1,11,11,0.5199
1,0,0,0.4886
1,10,0,0.434
1,14,14,0.5382
1,0,0,0.5381
1,0,15,0.6185
1,0,0,0.361
1,0,10,0.6162
1,1,1,0.4702
1,11,11,0.4853
1,0,0,0.5223
1,11,11,0.4716
1,1,1,0.4715
1,0,0,0.5379
1,15,15,0.4882
1,10,10,0.8516
1,0,0,0.6251
1,11,11,0.4904
1,2,0,0.4737
1,0,0,0.5312
1,0,0,0.4822
1,11,11,0.4826
1,0,0,0.3722
1,9,9,0.584
1,15,11,0.7878
1,15,0,0.4899
1,0,0,0.5676
1,0,1,0.5639
1,0,0,0.3443
1,0,0,0.5459
1,0,0,0.7339
1,2,2,0.5183
1,2,2,0.4704
1,15,9,2.3635
1,2,2,0.5073
1,0,1,0.5102
1,2,0,0.7694
1,0,0,0.3665
1,2,2,0.5285
1,0,0,0.3653
1,9,9,0.5195
1,15,15,0.4376
1,0,0,0.3412
1,0,0,0.3022
1,14,14,0.4984
1,2,0,0.3327
1,0,0,0.3504
1,10,10,0.5659
1,14,14,0.5284
1,9,0,0.5185
1,9,0,0.6778
1,0,0,0.5929
1,0,0,0.6862
1,14,14,0.5764
1,2,2,0.6202
1,0,0,0.5858
1,0,0,0.4363
1,10,10,0.64
1,11,11,0.5396
1,10,10,0.6763
1,0,14,0.7421
1,0,0,0.3779
1,0,0,0.6059
1,15,0,0.3804
1,9,0,0.5623
1,14,14,0.4698
1,9,9,0.4976
1,14,14,0.6873
1,15,15,0.3887
1,1,1,0.418
1,0,0,0.3224
1,0,15,0.6549
1,11,11,0.4626
1,9,0,0.6302
1,1,1,0.434
1,0,0,0.6348
1,0,0,0.4122
1,11,11,0.4878
1,9,9,0.5197
1,0,0,0.5409
1,2,2,0.5159
1,11,11,0.4312
1,0,0,0.3566
1,1,1,0.4543
1,0,0,0.3859
1,0,0,0.4137
1,0,0,0.4569
1,15,15,0.4597
1,2,2,0.5573
1,0,0,0.4681
1,0,0,0.4316
1,11,11,0.5417
1,10,10,0.68
1,9,9,0.5895
1,15,15,0.5503
1,0,0,0.468
1,9,0,0.3831
1,11,11,0.4661
1,1,1,0.4118
1,0,0,0.3739
1,14,14,0.5418
1,1,1,0.4361
1,2,2,0.5672
1,1,1,0.438
1,10,10,0.4521
1,10,0,0.7384
1,10,10,0.5059
1,2,2,0.4737
1,0,0,0.4283
1,15,15,0.4823
1,0,0,0.3806
1,0,0,0.3185
1,2,2,0.4667
1,11,11,0.5297
1,0,0,0.3058
1,0,0,0.2811
1,14,14,0.5265
1,2,2,0.4467
1,9,0,0.336
1,14,14,0.4902
1,9,9,0.3977
1,0,0,0.3318
1,14,14,0.4821
1,0,0,0.3729
1,0,0,0.5545
1,15,15,0.5166
1,0,0,0.8493
1,11,11,0.4521
1,0,0,0.3539
1,10,10,0.5812
1,2,2,0.4408
1,2,0,0.5494
1,0,0,0.3285
1,0,0,0.4963
1,0,0,0.3642
1,10,10,0.6363
1,0,0,0.6178
1,9,9,0.6303
1,2,2,0.4974
1,0,0,0.4118
1,9,9,0.5487
1,15,15,0.5037
1,15,15,0.4681
1,2,2,0.5518
1,0,0,0.3378
1,0,0,0.3066
1,14,14,0.4782
1,2,2,0.7669
1,14,14,0.4564
1,14,14,0.5092
1,0,0,0.4465
1,0,0,0.6803
1,0,0,0.3439
1,2,2,0.5225
1,0,0,0.5101
1,0,0,0.5082
1,0,0,0.3006
1,0,0,0.6395
1,0,0,0.4891
1,15,15,0.4824
1,9,9,0.4771
1,0,0,0.43
1,14,14,0.5106
1,15,0,0.456
1,11,11,0.4927
1,15,15,0.5361
1,0,0,0.4983
1,0,11,0.56
1,2,0,0.5518
1,1,1,0.4987
1,14,14,0.4416
1,0,0,0.5818
1,0,0,0.4684
1,10,10,0.3977
1,0,0,0.3424
1,1,1,0.3974
1,0,0,0.3166
1,10,10,0.494
1,0,0,0.6157
1,2,2,0.4765
1,9,0,0.5096
1,11,11,0.4636
1,0,0,0.3795
1,0,0,0.3485
1,0,0,0.3654
1,1,1,0.4977
1,14,14,0.4657
1,0,0,0.5903
1,15,15,0.7401
1,9,9,0.6545
1,0,0,0.3196
1,0,0,0.3281
1,0,0,0.3237
1,15,15,0.7978
1,0,0,0.3285
1,1,1,0.5778
1,0,0,0.3716
1,15,15,0.4518
1,2,2,0.4996
1,0,0,0.4324
1,0,0,0.3199
